State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) "
900,01/13/2020,-2.3,-6.04,-12.3,-5.39,-3.47,-3.17,-2.55,-3.57,-3.69
2500,01/13/2020,-0.21,-2.41,-14,-2.26,0.372,3.62,-1.75,0.378,0.305
3400,01/13/2020,-0.561,-3.86,-11.6,0.653,-0.622,4.78,1.23,0.227,1.09
3600,01/13/2020,-0.381,-3.63,-13.9,-1.44,-0.891,7.92,-0.114,-0.562,-0.278
4400,01/13/2020,-1.85,-15,-19.1,-5.96,-0.105,1.24,-31.2,-4.51,-9.52
900,01/14/2020,-0.191,-2.51,-8.21,-2.08,-0.296,-2.2,2.22,-0.963,-1.53
2500,01/14/2020,1.27,-2.31,-10,-0.585,3.93,4.84,-0.331,2.11,-0.172
3400,01/14/2020,0.889,-3.53,-9.32,0.164,0.367,3.31,3.22,0.339,0.352
3600,01/14/2020,0.418,-2.34,-10.3,-0.226,0.756,10.9,-1.96,0.396,-0.0367
4400,01/14/2020,0.0836,-12,-30.7,-6.85,4.16,-2.64,-25.3,-2.74,-10.6
900,01/15/2020,0.815,-3.37,-0.0603,-0.762,0.511,2.02,-1.84,-0.601,-1.52
2500,01/15/2020,2.14,-1.9,-8.21,1.17,6.28,11.4,0.651,3.85,0.771
3400,01/15/2020,1.17,-3.38,-5.41,-1.15,0.452,3.82,5.32,-0.395,-1.18
3600,01/15/2020,1.31,-1.9,-3.94,0.221,2.47,10.3,-2.62,1.55,0.527
4400,01/15/2020,1.85,-9.42,-23.2,-2.45,5.23,-6.51,-27.9,0.956,-4.05
900,01/16/2020,0.516,-2.86,-4.95,-1.37,1.84,2.77,2.13,-0.551,-2.45
2500,01/16/2020,2.01,-0.658,-8.32,1.91,6.59,9.56,-1.69,3.91,0.452
3400,01/16/2020,0.393,-3.11,-4.17,-2.53,0.683,-4,2.92,-0.73,-2.07
3600,01/16/2020,0.976,-1.45,-5.13,0.287,3.26,7.17,-0.118,1.86,0.344
4400,01/16/2020,-2.57,-4.54,-8.42,-7.13,5.29,-10.4,-9.77,0.593,-4.88
900,01/17/2020,0.936,-2.96,0.46,-2.78,2.43,1.2,8.39,0.658,-0.773
2500,01/17/2020,0.216,-0.925,-7.23,-2.06,4.33,8.03,0.466,1.55,-2.1
3400,01/17/2020,-1.45,-3.13,-3.2,-3.94,-1.05,-1.19,1.57,-2.19,-3.26
3600,01/17/2020,-0.357,-1.01,-1.25,-2.98,0.587,0.838,1.46,-0.511,-1.72
4400,01/17/2020,-2.2,-1.43,-8.37,-1.84,9.18,-14.3,5.73,4.81,-0.296
900,01/18/2020,0.602,-4.71,0.0372,-5.33,3.6,3.98,12,0.491,-1.93
2500,01/18/2020,-0.136,-2.43,-6.99,-2.37,4.38,0.0377,-1.62,1.29,-2.75
3400,01/18/2020,-0.847,-3.44,0.139,-4.82,-0.665,-1.26,2.78,-2.59,-4.46
3600,01/18/2020,-0.846,-2.39,0.192,-4.89,-1.09,-1.28,5.06,-2.81,-4.6
4400,01/18/2020,3.04,-4.23,-3.93,-1.05,6.09,-18.1,13.1,3.16,-0.387
900,01/19/2020,0.826,-1.36,5,-6.53,-0.473,2.74,5.54,-2.13,-3.35
2500,01/19/2020,0.257,-0.294,4.53,-0.811,-0.0181,1.48,4.17,-0.582,-1.24
3400,01/19/2020,0.466,-0.0227,8.06,-3.1,-0.161,-1.66,3.23,-1.69,-3.1
3600,01/19/2020,0.906,0.844,4.44,-1.87,-0.353,-1.21,6.7,-1.01,-1.63
4400,01/19/2020,-0.225,-0.189,-4.86,2.26,0.265,-22,23.4,2.31,4.46
900,01/20/2020,8.65,9.09,7.57,6.7,12.2,5.6,6.39,11.7,11.2
2500,01/20/2020,7.1,6.34,11.9,9.69,11.6,0.934,15.2,10,7.72
3400,01/20/2020,3.32,3.4,9.78,1.28,5.9,3.19,3.62,3.43,1.08
